row_idx,source_id,subject,answer,flags,text
4,high_school_mathematics/test/166,high_school_mathematics,B,"caret_power,unbalanced_dollar","Tìm $(2^{20} + 2^{20} + 2^{20} +2^{21}) \div 2^{17}$.
20
40
0
10"
40,high_school_statistics/test/5,high_school_statistics,D,unbalanced_dollar,"Hiệu trưởng của một trường đang quan tâm đến việc ước tính thu nhập trung bình mỗi gia đình của học sinh của cô ấy. Cô ấy chọn ngẫu nhiên một mẫu học sinh và thu thập thông tin về thu nhập của gia đình họ. Khoảng tin cậy 95 phần trăm được tính toán từ dữ liệu này cho giá trị thu nhập trung bình mỗi gia đình là ($35,095, $45,005). Câu nào sau đây cung cấp diễn giải tốt nhất cho khoảng tin cậy này?
95 phần trăm học sinh trong trường của cô Hiệu trưởng đến từ các gia đình có thu nhập nằm trong khoảng từ $35,095 đến $45,005.
Có khả năng 95% rằng các gia đình của tất cả các học sinh trong trường này có thu nhập từ $35,095 đến $45,005.
Nếu chúng ta lấy một mẫu khác có kích thước giống nhau và tính toán một khoảng tin cậy 95 phần trăm, chúng ta có 95% cơ hội để thu được khoảng cách ($35,095, $45,005).
Có khả năng 95% rằng thu nhập trung bình mỗi gia đình trong trường nằm trong khoảng từ $35,095 đến $45,005."
79,high_school_mathematics/test/160,high_school_mathematics,A,"raw_latex_frac,unbalanced_dollar","Biết rằng một hình chữ nhật có chiều dài $3x$ inch và chiều rộng $x + 5$ inch có tính chất là diện tích và chu vi bằng nhau, giá trị của $x$ là bao nhiêu?
1
5
\frac{10}{3}
\frac{3}{10}"
85,abstract_algebra/test/37,abstract_algebra,B,caret_power,"Phân định xem đa thức trong Z[x] có thoả Eisenstein để là không giả thức trên Q hay không. x^2 - 12
Có, với p=2.
Có, với p=3.
Có, với p=5.
Không."
97,high_school_mathematics/test/154,high_school_mathematics,A,"raw_latex_frac,unbalanced_dollar","Biểu diễn $0.1\overline{7}$ dưới dạng phân số thông thường.
\frac{8}{45}
\frac{8}{5}
\frac{8}{7}
\frac{8}{33}"
107,abstract_algebra/test/62,abstract_algebra,C,markdown_table_pipe,"Tuyên bố 1 | Mỗi nhóm phần bất kỳ của mỗi vòng đơn là một vòng đơn. Tuyên bố 2 | Một lý thuyết N trong một vòng R có 1 là tất cả R nếu và chỉ nếu 1 thuộc N.
Đúng, Đúng
Sai, Sai
Đúng, Sai
Sai, Đúng"
121,high_school_mathematics/test/200,high_school_mathematics,C,unbalanced_dollar,"Grady đi xe đạp nhanh hơn em trai Noah $60\%$. Nếu Grady đi được $12$ dặm nhiều hơn Noah trong hai giờ, thì Noah đi xe đạp với vận tốc bao nhiêu dặm mỗi giờ?
32
20
10
7.2"
126,high_school_mathematics/test/119,high_school_mathematics,B,"caret_power,unbalanced_dollar","Giả sử $ a, b $ và $ c $ là các số nguyên dương thỏa mãn $(a + b + c)^3 - a^3 - b^3 - c^3 = 150$. Tìm $a + b + c$.
16
6
12
150"
129,high_school_mathematics/test/172,high_school_mathematics,B,"caret_power,unbalanced_dollar","Dãy Fibonacci là dãy 1, 1, 2, 3, 5, $\ldots$ trong đó mỗi số là tổng của hai số trước đó. Dư thừa khi phần tử thứ $100^{\mathrm{th}}$ của dãy này chia cho 4 là bao nhiêu?
2
3
4
5"
134,abstract_algebra/test/50,abstract_algebra,D,markdown_table_pipe,"Phiên bản 1 | Mọi nhóm giải được đều có bội số là lũy thừa của số nguyên tố. Phiên bản 2 | Mọi nhóm có bội số là lũy thừa của số nguyên tố đều giải được.
Đúng, Đúng
Sai, Sai
Đúng, Sai
Sai, Đúng"
136,abstract_algebra/test/65,abstract_algebra,C,markdown_table_pipe,"Phát biểu 1 | Mọi trường cũng là một vòng tròn. Phát biểu 2 | Mọi vòng tròn đều có một bản địa tích luỹ.
Đúng, Đúng
Sai, Sai
Đúng, Sai
Sai, Đúng"
143,abstract_algebra/test/82,abstract_algebra,A,markdown_table_pipe,"Phát biểu 1 | Với mỗi số nguyên dương n, có một nhóm tuần hoàn bậc n. Phát biểu 2 | Mỗi nhóm tuần hoàn hữu hạn đều chứa một phần tử của mọi bậc mà chia hết cho bậc của nhóm.
Đúng, đúng
Sai, sai
Đúng, sai
Sai, đúng"
146,high_school_mathematics/test/8,high_school_mathematics,C,raw_latex_frac,"Chúng ta tung một xúc xắc 6 mặt công bằng 5 lần. Xác suất để chúng ta thu được số 6 trong tối đa 2 lần tung là bao nhiêu?
\frac{125}{648}
\frac{25}{648}
\frac{625}{648}
\frac{1}{648}"
178,high_school_chemistry/test/170,high_school_chemistry,C,caret_power,"Hằng số cân bằng, Kc, cho sự phân li của HI thành khí hydro và hơi iodine là 21 ở một nhiệt độ nhất định. Tại nồng độ 15 gam HI khí được đưa vào một bình thủy tinh 12,0 L và để đạt trạng thái cân bằng, nồng độ của hơi iodine là bao nhiêu?
4,58 mol/L
0.00687 mol L-1
4,4 × 10^-3 M
9,76 × 10^-3 M"
239,high_school_mathematics/test/211,high_school_mathematics,C,raw_latex_frac,"Số lượng sơn mà David cần để phủ một khối lập phương tỉ lệ thuận với diện tích bề mặt. Nếu David có thể phủ hoàn toàn một khối lập phương cạnh 2 feet với chính xác 16 quarts sơn, thì khối lập phương nào lớn nhất (theo độ dài cạnh tính bằng feet) mà David có thể phủ được với 169 quarts sơn?
\frac{13}{4}
8
\frac{13}{2}
13"
261,abstract_algebra/test/76,abstract_algebra,C,"markdown_table_pipe,subscript_underscore","Phát biểu 1 | S_n không Abel với mọi n >= 3. Phát biểu 2 | Nếu a là m chuyển vòng và b là n chuyển vòng, thì |ab| = lcm(m,n).
Đúng, Đúng
Sai, Sai
Đúng, Sai
Sai, Đúng"
304,abstract_algebra/test/10,abstract_algebra,C,markdown_table_pipe,"Tuyên bố 1 | Nếu H là một nhóm con của G và a thuộc G thì |aH| = |Ha|. Tuyên bố 2 | Nếu H là một nhóm con của G và a và b thuộc G, thì aH và Hb là giống nhau hoặc rời nhau.
Đúng, Đúng
Sai, Sai
Đúng, Sai
Sai, Đúng"
333,high_school_mathematics/test/43,high_school_mathematics,C,"caret_power,unbalanced_dollar","Tìm các thừa số của $36-9x^2$.
(6-3x)(6+3x)
(-3x+6)(3x+6)
9(2-x)(2+x)
3(2+x)^2"
358,high_school_mathematics/test/56,high_school_mathematics,B,"raw_latex_frac,unbalanced_dollar","Tìm $b$ nếu $\log_{b}343=-\frac{3}{2}$.
3
\frac{1}{49}
\frac{1}{7}
7"
368,high_school_mathematics/test/35,high_school_mathematics,D,unbalanced_dollar,"Giả sử đồ thị của $y=f(x)$ bao gồm các điểm $(1,5),$ $(2,3),$ và $(3,1)$. Dựa vào thông tin này, có hai điểm phải nằm trên đồ thị của $y=f(f(x))$. Nếu chúng ta gọi những điểm đó là $(a,b)$ và $(c,d),$ thì $ab+cd$ bằng bao nhiêu?
15
5
9
17"
380,high_school_mathematics/test/106,high_school_mathematics,B,unbalanced_dollar,"Tính có bao nhiêu số nguyên trong đoạn từ $-200$ đến $200$ cùng dư $5$ modulo $13$?
30
31
60
45"
409,abstract_algebra/test/1,abstract_algebra,C,subscript_underscore,"Cho p = (1, 2, 5, 4)(2, 3) trong S_5. Tìm chỉ số của <p> trong S_5.
8
2
24
120"
442,high_school_chemistry/test/137,high_school_chemistry,A,caret_power,"Khối lượng của một phân tử cholesterol (C27H46O, khối lượng phân tử = 386) là bao nhiêu?
6.41 × 10^-22 g
1.5 × 10^-21 g
1.38 × 10^-21 g
3 × 10^-23 g"
458,high_school_physics/test/39,high_school_physics,A,caret_power,"Một vật mang điện tích là –1 C. Vật đó chứa bao nhiêu điện tử thừa?
6.25 × 10^18
8.00 × 10^18
1.60 × 10^19
3.20 × 10^19"
462,abstract_algebra/test/26,abstract_algebra,C,markdown_table_pipe,"Phát biểu 1 | Mỗi nhóm có độ bộ của 42 đều có một nhóm con bình thường có độ bộ là 7. Phát biểu 2 | Mỗi nhóm có độ bộ của 42 đều có một nhóm con bình thường có độ bộ là 8.
Đúng, Đúng
Sai, Sai
Đúng, Sai
Sai, Đúng"
