ngram,count
bao nhiêu,592
liên quan,563
sử dụng,551
chúng ta,486
tất cả,427
thông tin,423
điều gì,333
quan thông,297
giá trị,291
xã hội,275
quá trình,268
nghiên cứu,255
quốc gia,251
chúng tôi,236
phát triển,235
mô tả,212
xác định,208
tuyên bố,202
thay đổi,199
khả năng,195
bằng cách,195
thực hiện,190
yếu tố,190
bất kỳ,189
sản xuất,189
kinh tế,184
vấn đề,184
trung bình,184
cung cấp,183
thời gian,182
kết quả,179
lựa chọn,178
sản phẩm,178
ví dụ,176
cô ấy,170
đầu tiên,168
bao gồm,168
thuật ngữ,165
chính xác,165
tổ chức,165
công ty,163
tế bào,163
ảnh hưởng,159
hoạt động,156
phản ứng,151
thị trường,149
đặc điểm,147
phương pháp,147
giả sử,146
khác nhau,144
