row_idx,source_id,subject,answer,correct_word_len,avg_distractor_word_len,max_distractor_word_len,correct_minus_avg_distractor_word_len,correct_char_len,avg_distractor_char_len,correct_minus_avg_distractor_char_len,longest_word_label,longest_word_is_correct,longest_char_label,longest_char_is_correct,question,correct_text,choices
1602,high_school_statistics/test/7,high_school_statistics,D,190,57.0,61,133.0,250,74.66666666666667,175.33333333333331,D,True,D,True,"Chiều cao trung bình của đàn ông trưởng thành là 70 inch, với độ lệch chuẩn là 4 inch. Chiều cao trung bình của phụ nữ trưởng thành là 66 inch, với độ lệch chuẩn là 3 inch. Giữa một người đàn ông cao 74 inch và một người phụ nữ cao 70 inch, ai cao hơn so với giới tính tương ứng của mình?","Người phụ nữ, vì chiều cao của cô ấy cao hơn trung bình 1.33 độ lệch chuẩn so với chiều cao trung bình của tất cả các phụ nữ, trong khi chiều cao của người đàn ông chỉ cao hơn trung bình 1 độ lệch chuẩn so với chiều cao trung bình của tất cả đàn ông.","{'A': 'Không thể xác định được, vì các chiều cao trung bình của hai nhóm là khác nhau.', 'B': 'Không thể xác định được, vì độ lệch chuẩn của chiều cao hai nhóm khác nhau.', 'C': 'Người đàn ông, vì anh ta cao 74 inch trong khi phụ nữ chỉ cao 70 inch.', 'D': 'Người phụ nữ, vì chiều cao của cô ấy cao hơn trung bình 1.33 độ lệch chuẩn so với chiều cao trung bình của tất cả các phụ nữ, trong khi chiều cao của người đàn ông chỉ cao hơn trung bình 1 độ lệch chuẩn so với chiều cao trung bình của tất cả đàn ông.'}"
4327,security_studies/test/130,security_studies,B,240,111.66666666666667,199,128.33333333333331,315,147.33333333333334,167.66666666666666,B,True,B,True,Những phê bình thường được đưa ra về HM bao gồm những gì?,"HM quá thường cáo buộc chủ nghĩa tư bản hành động chỉ vì lợi ích của chính nó, và giải thích tất cả mọi thứ dưới góc nhìn của cuộc đấu tranh giai cấp, khiến cho việc phân tích rộng hơn bị tổn hại. Một số phiên bản của HM tuyên bố đã tìm ra các luật hàng đầu về lịch sử nhưng độ chính xác của chúng vẫn bị tranh cãi.","{'A': 'HM không đưa ra đủ sự chú ý đến vai trò của người lao động, thay vào đó tập trung vào nhà tư bản như là nguồn cộng lực và diễn viên quan trọng nhất. HM cũng có thể ám chỉ các cấu trúc quyền lực tư bản, gây tổn hại cho sự bảo vệ an ninh nhân loại của công nhân viên.', 'B': 'HM quá thường cáo buộc chủ nghĩa tư bản hành động chỉ vì lợi ích của chính nó, và giải thích tất cả mọi thứ dưới góc nhìn của cuộc đấu tranh giai cấp, khiến cho việc phân tích rộng hơn bị tổn hại. Một số phiên bản của HM tuyên bố đã tìm ra các luật hàng đầu về lịch sử nhưng độ chính xác của chúng vẫn bị tranh cãi.', 'C': 'HM không tránh khỏi việc giảm bớt và đơn giản hóa những khía cạnh phức tạp của chủ nghĩa tư bản, chỉ nhận ra các khía cạnh tiêu cực và hiệu ứng độc hại.', 'D': 'Tất cả các lựa chọn trên.'}"
1276,security_studies/test/19,security_studies,D,399,276.6666666666667,320,122.33333333333331,529,363.3333333333333,165.66666666666669,D,True,D,True,Làm thế nào sự khác biệt sinh học ảnh hưởng đến các vai trò mà đàn ông và phụ nữ phải thực hiện cho quốc gia?,"Vai trò giới tính là một khái niệm xã hội; những giá trị được gán cho đặc tính nam hoặc nữ, chẳng hạn như sức mạnh hoặc sự chăm sóc, là sản phẩm của các lý tưởng xã hội chia sẻ thay vì các đặc tính sinh học bẩm sinh. Đàn ông và phụ nữ đều có khả năng chăm sóc trẻ em hiệu quả hoặc thực hiện hành vi bạo lực và hung ác. Tuy nhiên, các khái niệm xã hội về vai trò giới tính phổ biến, và phụ nữ có thể trở thành nạn nhân của bạo lực dựa trên giới tính trong xung đột trong khi đàn ông có khả năng tham gia vào các hành động bạo lực.","{'A': 'Sinh học xác định cơ thể nữ yếu đuối, đảm bảo rằng đàn ông tiếp tục thống trị các cơ quan an ninh nhà nước để bảo vệ họ. Phụ nữ nhận thức được sự khác biệt sinh học thực tế và chấp nhận chúng để cho phép đàn ông hành động như người bảo vệ và người chăm sóc của họ. Đổi lại, phụ nữ phải đóng vai trò bảo vệ và chăm sóc những người không có khả năng bằng chính họ, con cái của họ, trẻ sơ sinh, người cao tuổi và người yếu đuối.', 'B': 'Những hoạt động gần gũi nhất của con người đối với phụ nữ quan trọng hơn những yêu cầu của những người đàn ông thống trị chính trị và tôn giáo. Sinh học quy định và lựa chọn gần gũi của người phụ nữ áp đảo, trách nhiệm lớn của việc sinh sản cho dân số của một quốc gia trở thành nhiệm vụ chỉ có phụ nữ phải thực hiện.', 'C': 'Chiến tranh vô tội vạ là giới tính khả dụng và trong các xung đột đương đại không có sự khác biệt giới tính về mức độ nguy hiểm hoặc nhiệm vụ. Đàn ông cũng có thể trở thành nạn nhân của cưỡng hiếp hàng loạt (như ở Cộng hòa Dân chủ Congo hoặc xung đột Balkan) và phụ nữ cũng có khả năng bị bắt buộc phục vụ quân đội hoặc bị ép buộc tham gia quân sự.', 'D': 'Vai trò giới tính là một khái niệm xã hội; những giá trị được gán cho đặc tính nam hoặc nữ, chẳng hạn như sức mạnh hoặc sự chăm sóc, là sản phẩm của các lý tưởng xã hội chia sẻ thay vì các đặc tính sinh học bẩm sinh. Đàn ông và phụ nữ đều có khả năng chăm sóc trẻ em hiệu quả hoặc thực hiện hành vi bạo lực và hung ác. Tuy nhiên, các khái niệm xã hội về vai trò giới tính phổ biến, và phụ nữ có thể trở thành nạn nhân của bạo lực dựa trên giới tính trong xung đột trong khi đàn ông có khả năng tham gia vào các hành động bạo lực.'}"
4092,logical_fallacies/test/148,logical_fallacies,B,191,70.66666666666667,99,120.33333333333333,251,92.0,159.0,B,True,B,True,Mô tả ra tình huống lôi kép?,"Nói rằng người tranh luận đối lập đã đưa ra một quan điểm mà bạn có thể dễ dàng đánh bại, khi thực tế họ chưa đưa ra quan điểm đó, sau đó tiếp tục đánh bại quan điểm đó và tuyên bố đã làm thiệt hại đáng kể cho lập luận tổng thể của người tranh luận đó","{'A': 'Lập luận rằng ai đó nên làm điều gì đó chỉ vì nó sẽ giúp cho họ được yêu mến hơn', 'B': 'Nói rằng người tranh luận đối lập đã đưa ra một quan điểm mà bạn có thể dễ dàng đánh bại, khi thực tế họ chưa đưa ra quan điểm đó, sau đó tiếp tục đánh bại quan điểm đó và tuyên bố đã làm thiệt hại đáng kể cho lập luận tổng thể của người tranh luận đó', 'C': 'Tấn công vào tính cách hoặc lý lịch của người đối lập thay vì đưa ra bằng chứng tốt và lý luận khoa học để phản hồi với người đó', 'D': 'Đáp lại một lập luận bằng sự chế giễu thay vì một lập luận phản biện'}"
1740,security_studies/test/67,security_studies,D,297,179.66666666666666,216,117.33333333333334,384,230.66666666666666,153.33333333333334,D,True,D,True,Các phương pháp truyền thống cố gắng giải thích lý do và cách các quốc gia đã tìm kiếm an ninh. Câu trả lời nào là phương pháp tiếp cận của Học về An ninh truyền thống?,"Các phương pháp truyền thống quan tâm đến chủ quyền. Chủ quyền là trạng thái pháp lý; nó cho phép quốc gia kiểm soát một lãnh thổ nhất định, tức là được tự do khỏi sự can thiệp tùy tiện và không phải chịu trách nhiệm với bất kỳ cơ quan chủ quyền nào khác. Các lý thuyết truyền thống nghiên cứu các mẫu hành vi và sự hợp tác tương đối của các quốc gia chủ quyền trong hệ thống quốc tế.","{'A': 'Các lý thuyết truyền thống giải thích chính trị quốc tế là sự phân phối quyền lực giữa các thành viên trong hệ thống quốc tế, và cụ thể là cân bằng quyền lực giữa các quốc gia lớn. Quyền lực tương đối và những hạn chế của một quốc gia phản ánh chiến lược an ninh của quốc gia đó.', 'B': 'Các phương pháp truyền thống xuất hiện nhằm đáp ứng với Chiến tranh Lạnh và sự tích lũy căng thẳng và cạnh tranh giữa Hai siêu cường. Các lý thuyết truyền thống tìm cách giải thích hành vi dựa trên việc tích trữ vũ khí.', 'C': 'Các quan niệm truyền thống xuất hiện để giải thích các cụm chuẩn mực và các mẫu hành vi dẫn đến việc quản lý mâu thuẫn và hợp tác trong hệ thống quốc tế, trong các lĩnh vực cụ thể của hoạt động.', 'D': 'Các phương pháp truyền thống quan tâm đến chủ quyền. Chủ quyền là trạng thái pháp lý; nó cho phép quốc gia kiểm soát một lãnh thổ nhất định, tức là được tự do khỏi sự can thiệp tùy tiện và không phải chịu trách nhiệm với bất kỳ cơ quan chủ quyền nào khác. Các lý thuyết truyền thống nghiên cứu các mẫu hành vi và sự hợp tác tương đối của các quốc gia chủ quyền trong hệ thống quốc tế.'}"
627,computer_security/test/72,computer_security,C,171,57.666666666666664,107,113.33333333333334,225,75.66666666666667,149.33333333333331,C,True,C,True,Khác nhau giữa rò rỉ trực tiếp và kênh bên là gì?,"Một sự rò rỉ trực tiếp đến từ cơ chế tương tác dự kiến của hệ thống phần mềm, trong khi sự rò rỉ kênh bên đến từ các đo lường của các tính năng hệ thống khác, chẳng hạn như thời gian, sử dụng năng lượng hay không gian sử dụng","{'A': 'Một rò rỉ trực tiếp tạo ra một từ chối dịch vụ bằng cách không giải phóng bộ nhớ, trong khi một kênh giải phóng bộ nhớ như một tác dụng phụ', 'B': 'Một sự rò rỉ trực tiếp là một sự cố ý, chứ không phải do không cố ý', 'C': 'Một sự rò rỉ trực tiếp đến từ cơ chế tương tác dự kiến của hệ thống phần mềm, trong khi sự rò rỉ kênh bên đến từ các đo lường của các tính năng hệ thống khác, chẳng hạn như thời gian, sử dụng năng lượng hay không gian sử dụng', 'D': 'Không có sự khác biệt'}"
689,security_studies/test/1,security_studies,B,239,128.0,194,111.0,319,168.0,151.0,B,True,B,True,Liệu thay đổi môi trường có thể được hòa hợp với các lợi ích về an ninh quốc gia?,"Thay đổi môi trường có thể gây suy yếu an ninh quốc gia theo nhiều cách; bao gồm cả việc làm yếu tố cơ bản quyết định năng lực quân sự. Vì vậy, nếu cơ sở vốn tự nhiên của một nền kinh tế suy yếu thì sức mạnh quân sự của nó sẽ giảm đi trong dài hạn. Tuy nhiên, bất kỳ sự phát triển nào cũng sẽ có tác động đến con người.","{'A': 'Những thách thức môi trường đối với sự phát triển kinh tế, chẳng hạn như quản lý tài nguyên tự nhiên và việc làm, dẫn đến sự đa dạng hóa và nghiên cứu, điều đó có thể dẫn đến các tiến bộ công nghệ trong dài hạn, từ đó tăng cường các chương trình quân sự.', 'B': 'Thay đổi môi trường có thể gây suy yếu an ninh quốc gia theo nhiều cách; bao gồm cả việc làm yếu tố cơ bản quyết định năng lực quân sự. Vì vậy, nếu cơ sở vốn tự nhiên của một nền kinh tế suy yếu thì sức mạnh quân sự của nó sẽ giảm đi trong dài hạn. Tuy nhiên, bất kỳ sự phát triển nào cũng sẽ có tác động đến con người.', 'C': 'Những vấn đề môi trường mà các quốc gia gặp phải chủ yếu là nội bộ. Những mối đe dọa bên ngoài vẫn nằm trong tầm kiểm soát của một quốc gia: những mối đe dọa quân sự bên ngoài sẽ không thay đổi và vẫn là mối quan tâm hàng đầu.', 'D': 'Tất cả các lựa chọn này.'}"
2903,security_studies/test/93,security_studies,D,213,109.33333333333333,151,103.66666666666667,277,142.66666666666666,134.33333333333334,D,True,D,True,Thêm những triển lãm vũ khí quốc tế và triển lãm vũ khí vô danh đóng góp vào thị trường vũ khí bất hợp pháp như thế nào?,"Các triển lãm vũ khí và triển lãm vũ khí thường không yêu cầu những người tham gia trải qua các cuộc kiểm tra an ninh trước khi mua vũ khí, và khuyến khích một môi trường nơi chú ý hơn đến thông tin giá cả hơn là thông tin chi tiết về nơi vũ khí sẽ được phân phối hoặc sử dụng.","{'A': 'Mặc dù bị phản đối mạnh mẽ bởi các nhà hoạt động, các triển lãm vũ khí quy định nghiêm ngặt về hạn chế pháp lý đối với những người tham gia, đảm bảo rằng những người có tiền án không thể mua vũ khí.', 'B': 'Các triển lãm vũ khí được quy định để đảm bảo rằng vũ khí được mua hợp pháp không thể được bán lại trên thị trường đen hoặc xám.', 'C': 'Các triển lãm vũ khí và triển lãm vũ khí không đóng góp đáng kể vào việc buôn bán vũ khí bất hợp pháp.', 'D': 'Các triển lãm vũ khí và triển lãm vũ khí thường không yêu cầu những người tham gia trải qua các cuộc kiểm tra an ninh trước khi mua vũ khí, và khuyến khích một môi trường nơi chú ý hơn đến thông tin giá cả hơn là thông tin chi tiết về nơi vũ khí sẽ được phân phối hoặc sử dụng.'}"
2031,security_studies/test/158,security_studies,D,154,52.0,119,102.0,202,67.66666666666667,134.33333333333331,D,True,D,True,Phương pháp nào sau đây là hiệu quả để đảm bảo an toàn chống lại các mối đe dọa mạng?,"Chấp nhận rằng không thể đảm bảo an toàn tuyệt đối, thay vào đó thiết kế các hệ thống IT chịu đựng và xây dựng sự hợp tác quốc tế và trao đổi thông tin để giảm thiểu các mối đe dọa và tăng sự chịu đựng.","{'A': 'Xóa sạch các mối đe dọa.', 'B': 'Đảm bảo nhận ra tính nghiêm trọng của chiến tranh mạng là một mối đe dọa và các trường hợp của chiến tranh mạng được xác định, công bố và được xử lý ngay.', 'C': 'Tất cả các phương án này.', 'D': 'Chấp nhận rằng không thể đảm bảo an toàn tuyệt đối, thay vào đó thiết kế các hệ thống IT chịu đựng và xây dựng sự hợp tác quốc tế và trao đổi thông tin để giảm thiểu các mối đe dọa và tăng sự chịu đựng.'}"
7163,high_school_chemistry/val/21,high_school_chemistry,D,174,73.33333333333333,98,100.66666666666667,223,95.0,128.0,D,True,D,True,Tại sao giấm (một dung dịch loãng của axit axetic trong nước) và dầu thực vật (asit hữu cơ dài được ephanolit hóa bằng glyxerol) không hòa tan trong nhau để tạo thành dung dịch?,Quá trình hấp thụ nhiệt lớn bất lợi khi tách các phân tử trong hai chất tan so với năng lượng phát ra khi các chất tan tác động vào nhau khiến cho một dung dịch trở nên nhiệt động không được ưa chuộng về mặt nhiệt động học.,"{'A': 'Lực hấp dẫn trong giấm mạnh hơn nhiều so với trong dầu thực vật, vì vậy các chất lỏng luôn tách thành hai pha.', 'B': 'Các hợp chất hữu cơ hiếm khi hòa tan trong nước.', 'C': 'Lực hấp dẫn trong giấm chủ yếu là tạo liên kết hydro, trong khi đó trong dầu thực vật do sự xuất hiện của các dipol ngẫu nhiên.', 'D': 'Quá trình hấp thụ nhiệt lớn bất lợi khi tách các phân tử trong hai chất tan so với năng lượng phát ra khi các chất tan tác động vào nhau khiến cho một dung dịch trở nên nhiệt động không được ưa chuộng về mặt nhiệt động học.'}"
