ngram,count
liên quan thông,297
quan thông tin,297
mối quan hệ,86
thể sử dụng,65
độ lệch chuẩn,64
sự phát triển,63
chúng ta thể,63
nền kinh tế,62
mô tả tốt,51
sự khác biệt,47
sự thay đổi,46
xã hội chủ,40
hội chủ nghĩa,40
việc sử dụng,38
quan hệ giữa,34
bồ đào nha,34
giải thích tốt,33
mẫu ngẫu nhiên,33
chính sách tài,33
nhà nghiên cứu,32
sách tài khóa,32
ngành công nghiệp,32
tất cả mọi,32
điều gì xảy,31
điều gì đúng,31
tại hoa kỳ,30
bài kiểm tra,30
số nguyên dương,29
lựa chọn cái,29
chế độ ăn,28
chọn ngẫu nhiên,27
cuộc khảo sát,27
phân phối chuẩn,27
sách tiền tệ,27
cạnh tranh hoàn,26
tranh hoàn hảo,26
chính sách tiền,26
cuộc tấn công,25
quan hệ công,25
loài động vật,25
số lựa chọn,25
cuộc cách mạng,25
khoảng tin cậy,24
trạng thái cân,24
nghiên cứu an,24
cứu an ninh,24
nhà sử học,24
chúng ta phải,24
khoảng bao nhiêu,23
giải phương trình,23
